STATE_NAME,UniversityCount,AverageAnnualCost,AverageNetPrice,AverageGrantAid,AverageAlumniSalary
Alaska,2,36232.5,11683,6832,101400
Alabama,8,44080.625,21267.5,15323.75,94028.57143
Arkansas,5,43162.4,19292.2,18877.8,87800
Arizona,4,46889.5,18398.5,12288.25,102450
California,56,55350.28571,21654.73214,21251.14286,106908.9286
Colorado,12,43641.08333,19955.5,13669.09091,101600
Connecticut,10,57644.4,27735.3,30154.44444,110700
District_of_Columbia,5,62173,30957,29147.6,109360
Delaware,1,47782,16892,8798,105400
Florida,20,46814.1,21340.9,13960.7,90895
Georgia,14,47607.57143,21265.92857,17835.85714,92721.42857
Hawaii,1,51550,15307,7227,91600
Iowa,13,48470.38462,21730.76923,20491.07692,90415.38462
Idaho,4,32135.25,14390,9361.5,89925
Illinois,25,49989.56,22006.08,21444.84,96736
Indiana,19,50307.26316,21638.05263,21555.78947,96927.77778
Kansas,3,37828.66667,16951,7144.333333,94366.66667
Kentucky,12,42976.41667,16904.58333,17194.41667,83683.33333
Louisiana,8,44381.25,18413.375,16361.75,94237.5
Massachusetts,31,62393.83871,28982.06452,29026.51613,109922.5806
Maryland,14,50249.28571,23590.78571,20920.23077,101561.5385
Maine,6,59728.16667,23205.33333,32562,102740
Michigan,17,45847.05882,20324.5625,16531.47059,97268.75
Minnesota,19,47869.52632,21756.05263,20932.89474,94683.33333
Missouri,13,43756.61538,18991.92308,17384.38462,92766.66667
Mississippi,5,38217.2,16456.8,14410.8,87060
Montana,4,40192.5,18012.5,9486.25,97000
North_Carolina,19,47973.05263,21854.31579,18981.31579,89405.26316
North_Dakota,2,33247.5,15160.5,4653,97300
Nebraska,6,44156.16667,21864.66667,15675.5,89150
New_Hampshire,3,58747.66667,28739.33333,27682.66667,110500
New_Jersey,13,51796.07692,22713.84615,20951.38462,105523.0769
New_Mexico,4,43016.25,14309.75,13789.25,103700
Nevada,2,38018.5,12530,5335,92700
New_York,68,52819.02941,23030.19118,22150.01493,104218.1818
Ohio,29,48000.62069,23351.96552,18504.13793,94110.34483
Oklahoma,6,44697.83333,20027.66667,17957.83333,92666.66667
Oregon,11,54257.81818,25694.18182,19139.27273,97654.54545
Pennsylvania,40,56874.55,27636.89744,26117.125,102112.5
Rhode_Island,7,56779.71429,31133.14286,21007.71429,102800
South_Carolina,9,48866.22222,21466.77778,17184.44444,93262.5
South_Dakota,4,31450.25,19727.75,8848,96675
Tennessee,14,48579.07143,20680.92857,19154.28571,89457.14286
Texas,25,46776.08,19013.72,17495.6,97892
Utah,5,34449.2,14630.2,9125.4,98140
Virginia,20,52457.35,22489.55,19573.8,97733.33333
Vermont,5,62059.8,24509,30403.6,99425
Washington,12,52753.08333,25033.75,17874,102666.6667
Wisconsin,13,46808.15385,20734,18173.46154,93638.46154
West_Virginia,1,37712,11825,8964,99900
Wyoming,1,31387,13070,7422,98800
