STATE_NAME,UniversityCount,AverageAnnualCost(k),AverageNetPrice(k),AverageGrantAid(k),AverageAlumniSalary(k)
Alabama,8,44,21,15,94
Arkansas,5,43,19,19,88
Arizona,4,47,18,12,102
California,56,55,22,21,107
Colorado,12,44,20,14,102
Connecticut,10,58,28,30,111
District_of_Columbia,5,62,31,29,109
Delaware,1,48,17,8,105
Florida,20,47,21,14,91
Georgia,14,48,21,18,93
Iowa,13,48,22,20,90
Idaho,4,32,14,9,90
Illinois,25,50,22,21,97
Indiana,19,50,22,22,97
Kansas,3,38,17,7,94
Kentucky,12,43,17,17,84
Louisiana,8,44,18,16,94
Massachusetts,31,62,29,29,110
Maryland,14,50,24,21,102
Maine,6,60,23,33,103
Michigan,17,46,20,17,97
Minnesota,19,48,22,21,95
Missouri,13,44,19,17,93
Mississippi,5,38,16,14,87
Montana,4,40,18,9,97
North_Carolina,19,48,22,19,89
North_Dakota,2,33,15,5,97
Nebraska,6,44,22,16,89
New_Hampshire,3,59,29,28,111
New_Jersey,13,52,23,21,106
New_Mexico,4,43,14,14,104
Nevada,2,38,13,5,93
New_York,68,53,23,22,104
Ohio,29,48,23,19,94
Oklahoma,6,45,20,18,93
Oregon,11,54,26,19,98
Pennsylvania,40,57,28,26,102
Rhode_Island,7,57,31,21,103
South_Carolina,9,49,21,17,93
South_Dakota,4,31,20,9,97
Tennessee,14,49,21,19,89
Texas,25,47,19,17,98
Utah,5,34,15,9,98
Virginia,20,52,22,20,98
Vermont,5,62,25,30,99
Washington,12,53,25,18,103
Wisconsin,13,47,21,18,94
West_Virginia,1,38,12,9,100
Wyoming,1,31,13,7,99
